# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	9507	10586	-							EMQ_RS00045	1080		old_locus_tag=EMQ_0009
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	9507	10586	-	WP_018307678.1	WP_018307678.1		PhoH family protein			EMQ_RS00045	1080	359	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	10655	11995	-					miaB		EMQ_RS00050	1341		old_locus_tag=EMQ_0010
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	10655	11995	-	WP_231368034.1	WP_231368034.1		tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB	miaB		EMQ_RS00050	1341	446	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	12306	13361	-							EMQ_RS00055	1056		old_locus_tag=EMQ_0011
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	12306	13361	-	WP_010668398.1	WP_010668398.1		1-acyl-sn-glycerol-3-phosphate acyltransferase			EMQ_RS00055	1056	351	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	13535	15589	+							EMQ_RS00060	2055		old_locus_tag=EMQ_0012
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	13535	15589	+	WP_018307677.1	WP_018307677.1		BamA/TamA family outer membrane protein			EMQ_RS00060	2055	684	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	15589	19782	+							EMQ_RS00065	4194		old_locus_tag=EMQ_0013
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	15589	19782	+	WP_010666706.1	WP_010666706.1		translocation/assembly module TamB domain-containing protein			EMQ_RS00065	4194	1397	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	19964	20611	+							EMQ_RS00070	648		old_locus_tag=EMQ_0014
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	19964	20611	+	WP_035349753.1	WP_035349753.1		transcriptional regulator			EMQ_RS00070	648	215	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	20807	22519	-					dld		EMQ_RS00075	1713		old_locus_tag=EMQ_0015
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	20807	22519	-	WP_010666784.1	WP_010666784.1		D-lactate dehydrogenase	dld		EMQ_RS00075	1713	570	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	22805	23290	-							EMQ_RS00080	486		old_locus_tag=EMQ_0016
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	22805	23290	-	WP_010666785.1	WP_010666785.1		hypothetical protein			EMQ_RS00080	486	161	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	23382	24236	+					prmC		EMQ_RS00085	855		old_locus_tag=EMQ_0017
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	23382	24236	+	WP_010666786.1	WP_010666786.1		peptide chain release factor N(5)-glutamine methyltransferase	prmC		EMQ_RS00085	855	284	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	24300	25502	-							EMQ_RS00090	1203		old_locus_tag=EMQ_0018
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	24300	25502	-	WP_010666787.1	WP_010666787.1		D-alanyl-D-alanine carboxypeptidase			EMQ_RS00090	1203	400	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	25840	26160	+					clpS		EMQ_RS00095	321		old_locus_tag=EMQ_0019
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	25840	26160	+	WP_231367896.1	WP_231367896.1		ATP-dependent Clp protease adapter ClpS	clpS		EMQ_RS00095	321	106	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	26344	26685	-							EMQ_RS00100	342		old_locus_tag=EMQ_0020
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	26344	26685	-	WP_010667831.1	WP_010667831.1		FYDLN acid domain-containing protein			EMQ_RS00100	342	113	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	26929	28125	+							EMQ_RS00105	1197		old_locus_tag=EMQ_0021
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	26929	28125	+	WP_231367895.1	WP_231367895.1		transglycosylase SLT domain-containing protein			EMQ_RS00105	1197	398	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	28241	29164	+					truB		EMQ_RS00110	924		old_locus_tag=EMQ_0022
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	28241	29164	+	WP_010667833.1	WP_010667833.1		tRNA pseudouridine(55) synthase TruB	truB		EMQ_RS00110	924	307	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	29180	29449	+					rpsO		EMQ_RS00115	270		old_locus_tag=EMQ_0023
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	29180	29449	+	WP_010667834.1	WP_010667834.1		30S ribosomal protein S15	rpsO		EMQ_RS00115	270	89	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	29780	31927	+					pnp		EMQ_RS00120	2148		old_locus_tag=EMQ_0024
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	29780	31927	+	WP_026199929.1	WP_026199929.1		polyribonucleotide nucleotidyltransferase	pnp		EMQ_RS00120	2148	715	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	32064	33482	+							EMQ_RS00125	1419		old_locus_tag=EMQ_0025
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	32064	33482	+	WP_010667717.1	WP_010667717.1		2-nitropropane dioxygenase			EMQ_RS00125	1419	472	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	33573	34157	+							EMQ_RS00130	585		old_locus_tag=EMQ_0026
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	33573	34157	+	WP_231368033.1	WP_231368033.1		outer membrane lipoprotein carrier protein LolA			EMQ_RS00130	585	194	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	34506	36665	-							EMQ_RS00135	2160		old_locus_tag=EMQ_0027
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	34506	36665	-	WP_018307673.1	WP_018307673.1		hypothetical protein			EMQ_RS00135	2160	719	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	36673	39531	-							EMQ_RS00140	2859		old_locus_tag=EMQ_0028
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	36673	39531	-	WP_018307672.1	WP_018307672.1		DUF4159 domain-containing protein			EMQ_RS00140	2859	952	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	39528	40538	-							EMQ_RS00145	1011		old_locus_tag=EMQ_0029
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	39528	40538	-	WP_231367894.1	WP_231367894.1		DUF58 domain-containing protein			EMQ_RS00145	1011	336	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	40541	41599	-							EMQ_RS00150	1059		old_locus_tag=EMQ_0030
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	40541	41599	-	WP_010667818.1	WP_010667818.1		MoxR family ATPase			EMQ_RS00150	1059	352	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	41688	42317	+							EMQ_RS00155	630		old_locus_tag=EMQ_0031
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	41688	42317	+	WP_010667819.1	WP_010667819.1		DUF1285 domain-containing protein			EMQ_RS00155	630	209	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	42317	43576	+							EMQ_RS00160	1260		old_locus_tag=EMQ_0032
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	42317	43576	+	WP_010667820.1	WP_010667820.1		CCA tRNA nucleotidyltransferase			EMQ_RS00160	1260	419	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	43728	45518	+							EMQ_RS00165	1791		old_locus_tag=EMQ_0033
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	43728	45518	+	WP_010667821.1	WP_010667821.1		ABC transporter ATP-binding protein/permease			EMQ_RS00165	1791	596	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	45681	45944	+							EMQ_RS00170	264		old_locus_tag=EMQ_0034
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	45681	45944	+	WP_010666627.1	WP_010666627.1		DksA/TraR family C4-type zinc finger protein			EMQ_RS00170	264	87	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	46043	46954	-							EMQ_RS00175	912		old_locus_tag=EMQ_0035
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	46043	46954	-	WP_010666628.1	WP_010666628.1		50S ribosomal protein L11 methyltransferase			EMQ_RS00175	912	303	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	47230	48687	-					gatB		EMQ_RS00180	1458		old_locus_tag=EMQ_0036
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	47230	48687	-	WP_010666629.1	WP_010666629.1		Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB	gatB		EMQ_RS00180	1458	485	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	48684	50168	-					gatA		EMQ_RS00185	1485		old_locus_tag=EMQ_0037
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	48684	50168	-	WP_010666630.1	WP_010666630.1		Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA	gatA		EMQ_RS00185	1485	494	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	50168	50458	-					gatC		EMQ_RS00190	291		old_locus_tag=EMQ_0038
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	50168	50458	-	WP_010666631.1	WP_010666631.1		Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC	gatC		EMQ_RS00190	291	96	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	50530	51027	+					ruvX		EMQ_RS00195	498		old_locus_tag=EMQ_0039
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	50530	51027	+	WP_026199927.1	WP_026199927.1		Holliday junction resolvase RuvX	ruvX		EMQ_RS00195	498	165	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	51067	52107	-							EMQ_RS00200	1041		old_locus_tag=EMQ_0040
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	51067	52107	-	WP_010666633.1	WP_010666633.1		hypothetical protein			EMQ_RS00200	1041	346	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	52104	53528	-							EMQ_RS00205	1425		old_locus_tag=EMQ_0041
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	52104	53528	-	WP_018307670.1	WP_018307670.1		GGDEF domain-containing protein			EMQ_RS00205	1425	474	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	53680	54528	+					dapD		EMQ_RS00210	849		old_locus_tag=EMQ_0042
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	53680	54528	+	WP_010666194.1	WP_010666194.1		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	dapD		EMQ_RS00210	849	282	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	54538	55680	+					dapE		EMQ_RS00215	1143		old_locus_tag=EMQ_0043
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	54538	55680	+	WP_010666193.1	WP_010666193.1		succinyl-diaminopimelate desuccinylase	dapE		EMQ_RS00215	1143	380	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	55677	56321	+							EMQ_RS00220	645		old_locus_tag=EMQ_0044
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	55677	56321	+	WP_010666192.1	WP_010666192.1		hypothetical protein			EMQ_RS00220	645	214	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	56263	57438	-							EMQ_RS00225	1176		old_locus_tag=EMQ_0045
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	56263	57438	-	WP_010666191.1	WP_010666191.1		glycosyltransferase family 4 protein			EMQ_RS00225	1176	391	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	57465	59393	-							EMQ_RS00230	1929		old_locus_tag=EMQ_0046
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	57465	59393	-	WP_010666190.1	WP_010666190.1		heparinase II/III family protein			EMQ_RS00230	1929	642	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	59436	60101	-					rpe		EMQ_RS00235	666		old_locus_tag=EMQ_0047
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	59436	60101	-	WP_026199926.1	WP_026199926.1		ribulose-phosphate 3-epimerase	rpe		EMQ_RS00235	666	221	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	60526	61173	-							EMQ_RS00240	648		old_locus_tag=EMQ_0048
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	60526	61173	-	WP_010666283.1	WP_010666283.1		hypothetical protein			EMQ_RS00240	648	215	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	61185	62567	-							EMQ_RS00245	1383		old_locus_tag=EMQ_0049
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	61185	62567	-	WP_010666282.1	WP_010666282.1		methyltransferase domain-containing protein			EMQ_RS00245	1383	460	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	62715	63749	+							EMQ_RS00250	1035		old_locus_tag=EMQ_0050
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	62715	63749	+	WP_010666281.1	WP_010666281.1		hypothetical protein			EMQ_RS00250	1035	344	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	63752	65032	+							EMQ_RS00255	1281		old_locus_tag=EMQ_0051
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	63752	65032	+	WP_010666280.1	WP_010666280.1		hypothetical protein			EMQ_RS00255	1281	426	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	65169	66044	+							EMQ_RS00260	876		old_locus_tag=EMQ_0052
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	65169	66044	+	WP_231367893.1	WP_231367893.1		ABC transporter substrate-binding protein			EMQ_RS00260	876	291	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	66041	67045	+							EMQ_RS00265	1005		old_locus_tag=EMQ_0053
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	66041	67045	+	WP_010666278.1	WP_010666278.1		iron ABC transporter permease			EMQ_RS00265	1005	334	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	67042	67806	+							EMQ_RS00270	765		old_locus_tag=EMQ_0054
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	67042	67806	+	WP_010666277.1	WP_010666277.1		ABC transporter ATP-binding protein			EMQ_RS00270	765	254	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	68170	69561	-							EMQ_RS00275	1392		old_locus_tag=EMQ_0055
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	68170	69561	-	WP_010667526.1	WP_010667526.1		NAD-dependent succinate-semialdehyde dehydrogenase			EMQ_RS00275	1392	463	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	69630	70658	-					adhP		EMQ_RS00280	1029		old_locus_tag=EMQ_0056
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	69630	70658	-	WP_010667525.1	WP_010667525.1		alcohol dehydrogenase AdhP	adhP		EMQ_RS00280	1029	342	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	70683	72110	-							EMQ_RS00285	1428		old_locus_tag=EMQ_0057
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	70683	72110	-	WP_010667524.1	WP_010667524.1		NAD(P)(+) transhydrogenase (Re/Si-specific) subunit beta			EMQ_RS00285	1428	475	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	72115	72444	-							EMQ_RS00290	330		old_locus_tag=EMQ_0058
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	72115	72444	-	WP_010667523.1	WP_010667523.1		NAD(P) transhydrogenase subunit alpha			EMQ_RS00290	330	109	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	72449	73636	-							EMQ_RS00295	1188		old_locus_tag=EMQ_0059
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	72449	73636	-	WP_010667522.1	WP_010667522.1		NAD(P) transhydrogenase subunit alpha			EMQ_RS00295	1188	395	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	73979	75322	-							EMQ_RS00300	1344		old_locus_tag=EMQ_0060
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	73979	75322	-	WP_010667755.1	WP_010667755.1		gluconate:H+ symporter			EMQ_RS00300	1344	447	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	75424	76194	-							EMQ_RS00305	771		old_locus_tag=EMQ_0061
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	75424	76194	-	WP_018307668.1	WP_018307668.1		SDR family oxidoreductase			EMQ_RS00305	771	256	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	76448	77005	-							EMQ_RS00310	558		old_locus_tag=EMQ_0062
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	76448	77005	-	WP_010669352.1	WP_010669352.1		hypothetical protein			EMQ_RS00310	558	185	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	77142	77636	-							EMQ_RS00315	495		old_locus_tag=EMQ_0063
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	77142	77636	-	WP_018307667.1	WP_018307667.1		DUF934 domain-containing protein			EMQ_RS00315	495	164	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	77623	79335	-							EMQ_RS00320	1713		old_locus_tag=EMQ_0064
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	77623	79335	-	WP_010667093.1	WP_010667093.1		nitrite/sulfite reductase			EMQ_RS00320	1713	570	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	79346	79714	-							EMQ_RS00325	369		old_locus_tag=EMQ_0065
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	79346	79714	-	WP_010667092.1	WP_010667092.1		DUF2849 domain-containing protein			EMQ_RS00325	369	122	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	79783	80859	-							EMQ_RS00330	1077		old_locus_tag=EMQ_0066
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	79783	80859	-	WP_010667091.1	WP_010667091.1		ATP-binding cassette domain-containing protein			EMQ_RS00330	1077	358	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	80856	81680	-							EMQ_RS00335	825		old_locus_tag=EMQ_0067
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	80856	81680	-	WP_010667090.1	WP_010667090.1		sulfate ABC transporter permease subunit			EMQ_RS00335	825	274	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	81680	82537	-					cysT		EMQ_RS00340	858		old_locus_tag=EMQ_0068
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	81680	82537	-	WP_018307666.1	WP_018307666.1		sulfate ABC transporter permease subunit CysT	cysT		EMQ_RS00340	858	285	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	82530	83567	-							EMQ_RS00345	1038		old_locus_tag=EMQ_0069
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	82530	83567	-	WP_010666644.1	WP_010666644.1		sulfate ABC transporter substrate-binding protein			EMQ_RS00345	1038	345	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	83753	85228	-							EMQ_RS00350	1476		old_locus_tag=EMQ_0070
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	83753	85228	-	WP_232092253.1	WP_232092253.1		dienelactone hydrolase			EMQ_RS00350	1476	491	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	85605	87188	-							EMQ_RS00355	1584		old_locus_tag=EMQ_0071
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	85605	87188	-	WP_010666641.1	WP_010666641.1		efflux transporter outer membrane subunit			EMQ_RS00355	1584	527	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	87185	88453	-							EMQ_RS00360	1269		old_locus_tag=EMQ_0072
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	87185	88453	-	WP_010666640.1	WP_010666640.1		efflux RND transporter periplasmic adaptor subunit			EMQ_RS00360	1269	422	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	88450	91629	-							EMQ_RS00365	3180		old_locus_tag=EMQ_0073
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	88450	91629	-	WP_018307664.1	WP_018307664.1		efflux RND transporter permease subunit			EMQ_RS00365	3180	1059	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	92412	92630	+							EMQ_RS00370	219		old_locus_tag=EMQ_0074
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	92412	92630	+	WP_010667080.1	WP_010667080.1		hypothetical protein			EMQ_RS00370	219	72	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	92611	93498	+					cysE		EMQ_RS00375	888		old_locus_tag=EMQ_0075
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	92611	93498	+	WP_010667079.1	WP_010667079.1		serine O-acetyltransferase	cysE		EMQ_RS00375	888	295	
